"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35651","Training menu shows submenus","","2026-08-07","passed","2026-08-07","","","",""
"","1","Login fails with invalid credentials","","2026-08-07","skipped","2026-08-07","","","",""
"","1","User can log out from the partner portal","","2026-08-07","skipped","2026-08-07","","","",""
"","72519","Sales and Marketing menu shows submenus","","2026-08-07","passed","2026-08-07","","","",""
"","0","The pre-login page loads successfully","","2026-08-07","skipped","2026-08-07","","","",""
"","12125","Tools and Services menu shows submenus","","2026-08-07","passed","2026-08-07","","","",""
"","15963","Third footer consumer link navigates correctly","","2026-08-07","passed","2026-08-07","","","",""
"","1","Log in with credentials from Excel","","2026-08-07","skipped","2026-08-07","","","",""
"","17840","First footer heading navigates correctly","","2026-08-07","passed","2026-08-07","","","",""
"","43057","Orders menu shows submenus","","2026-08-07","passed","2026-08-07","","","",""
